Keywords,Count
creativity,19
entrepreneurship,19
technology innovation,18
technology,16
sustainability,16
education,13
technology transfer,12
software engineering,11
software development,11
big data,10
internet of things,10
collaboration,10
design,10
innovation management,9
patents,8
tissue engineering,8
higher education,8
information technology,8
r&d,7
triz,7
industry 4.0,7
culture,7
innovations,7
technological innovation,6
management,6
case study,6
data mining,6
systems engineering,6
requirements engineering,6
science,6
conference proceeding,6
business model innovation,6
product design,6
product innovation,6
